구,업종,수
종로구,닭/오리요리,164
중구,닭/오리요리,203
용산구,닭/오리요리,134
성동구,닭/오리요리,158
광진구,닭/오리요리,339
동대문구,닭/오리요리,279
중랑구,닭/오리요리,236
성북구,닭/오리요리,261
강북구,닭/오리요리,196
도봉구,닭/오리요리,207
노원구,닭/오리요리,333
은평구,닭/오리요리,322
서대문구,닭/오리요리,213
마포구,닭/오리요리,253
양천구,닭/오리요리,205
강서구,닭/오리요리,345
구로구,닭/오리요리,286
금천구,닭/오리요리,188
영등포구,닭/오리요리,266
동작구,닭/오리요리,198
관악구,닭/오리요리,320
서초구,닭/오리요리,266
강남구,닭/오리요리,462
송파구,닭/오리요리,321
강동구,닭/오리요리,303
종로구,한식,1828
중구,한식,1676
용산구,한식,1589
성동구,한식,1398
광진구,한식,1719
동대문구,한식,1769
중랑구,한식,1334
성북구,한식,1499
강북구,한식,1262
도봉구,한식,910
노원구,한식,1268
은평구,한식,1854
서대문구,한식,1402
마포구,한식,2962
양천구,한식,1114
강서구,한식,2182
구로구,한식,1463
금천구,한식,1065
영등포구,한식,2127
동작구,한식,1020
관악구,한식,1631
서초구,한식,2311
강남구,한식,4594
송파구,한식,2842
강동구,한식,1852
종로구,일식/수산물,283
중구,일식/수산물,335
용산구,일식/수산물,262
성동구,일식/수산물,251
광진구,일식/수산물,407
동대문구,일식/수산물,292
중랑구,일식/수산물,227
성북구,일식/수산물,237
강북구,일식/수산물,177
도봉구,일식/수산물,188
노원구,일식/수산물,260
은평구,일식/수산물,332
서대문구,일식/수산물,242
마포구,일식/수산물,455
양천구,일식/수산물,270
강서구,일식/수산물,482
구로구,일식/수산물,266
금천구,일식/수산물,190
영등포구,일식/수산물,439
동작구,일식/수산물,247
관악구,일식/수산물,354
서초구,일식/수산물,505
강남구,일식/수산물,1226
송파구,일식/수산물,560
강동구,일식/수산물,380
종로구,양식,551
중구,양식,318
용산구,양식,661
성동구,양식,241
광진구,양식,284
동대문구,양식,161
중랑구,양식,80
