버스정류장ARS번호,역명,주소,아침,점심,오후,저녁
1001,종로2가사거리,종로구,8110,2638,7180,4339
1002,창경궁.서울대학교병원,종로구,55246,10786,32303,8497
1003,명륜3가.성대입구,종로구,50506,17486,43396,28818
1004,종로2가.삼일교,종로구,8130,3731,12369,8214
1005,혜화동로터리.여운형활동터,종로구,37092,12590,30808,13819
1101,경기상고,종로구,6461,1647,7102,2024
1102,신교동,종로구,16008,5222,19407,5374
1103,경기상고,종로구,5067,1545,5491,3698
1104,경복고교,종로구,6799,1699,6283,1732
1105,청운중학교,종로구,3087,409,1469,251
1106,자하문고개.윤동주문학관,종로구,9541,5510,14156,5133
1108,청운중학교,종로구,2339,961,4722,777
1109,경복고교,종로구,6944,1594,5997,2832
1110,통인시장종로구보건소,종로구,31208,12166,42026,17687
1112,효자동,종로구,13315,2896,11197,6673
1113,사직단.어린이도서관,종로구,9447,4189,15797,8228
1114,사직동주민센터,종로구,30311,10652,39736,27796
1115,경복궁역,종로구,72922,26274,87529,49305
1117,경복궁,종로구,23336,6815,22403,8809
1118,KT광화문지사,종로구,40527,13915,45770,31339
1120,광화문,종로구,9618,3243,14566,9423
1123,서울역사박물관.경교장.강북삼성병원,종로구,14119,4310,16492,10028
1124,광화문.금호아시아나본관앞,종로구,5131,1081,3128,2068
1125,광화문,종로구,479,408,2907,3047
1126,세종문화회관,종로구,34944,12106,48843,20818
1127,서울지방경찰청.경복궁역,종로구,33042,10592,36753,19485
1128,사직단,종로구,25251,6848,19848,9010
1129,광화문광화문빌딩,종로구,7905,1757,5591,3590
1130,덕성여중고,종로구,12490,5757,19306,9648
1131,안국역.종로경찰서.인사동,종로구,13616,5532,21648,12598
1132,국민은행세검정지점,종로구,6093,2357,6030,2979
1133,세검정초등학교,종로구,18510,6149,15992,6094
1134,세검정.상명대,종로구,3654,1476,5982,2692
1135,상명대입구.석파랑,종로구,3246,778,2333,805
1136,하림각,종로구,10542,3085,8182,2954
1137,자하문터널입구.석파정,종로구,8149,3142,9386,2578
1138,부암동주민센터.무계원,종로구,10171,5709,15824,7249
1140,자하문터널입구.석파정,종로구,4928,2871,10483,7547
1141,하림각,종로구,4992,2424,9717,7483
1142,상명대입구.세검정교회,종로구,2622,1400,6224,4473
1143,세검정.상명대,종로구,4000,1741,8180,4308
1144,세검정초등학교,종로구,12341,5450,22216,16741
1146,국민은행세검정지점,종로구,5409,2564,9412,6256
1148,승가사입구,종로구,356,351,1311,117
1149,구기동현대빌라,종로구,1830,1191,3801,529
1150,구기터널.삼성출판박물관,종로구,9741,4335,15940,5896
1152,구기동,종로구,20008,7755,24903,15269
1154,승가사입구,종로구,1785,334,909,433
1155,갑을씨티텔앞,종로구,5570,1414,4128,1974
1156,평창파출소,종로구,14138,4989,14834,6499
1157,평창동주민센터,종로구,12879,5089,16157,6598
1158,일성아파트,종로구,7133,2173,5287,2234
1159,롯데아파트,종로구,15089,5304,18381,9577
1161,벽산평창힐스아파트,종로구,3496,1579,5526,4572
1162,예능교회,종로구,4495,1953,7855,5254
1163,서울예술고등학교.평창동주민센터,종로구,9131,3467,12922,8473
1164,화정박물관,종로구,6827,2730,11252,8705
1167,독립문역.서대문형무소역사관,종로구,2232,1340,5307,3931
1168,서대문.서울시교육청,종로구,9965,3824,14062,9905
1172,창덕궁,종로구,36638,9532,34521,12772
1173,무교동,종로구,3425,988,4126,2976
1174,청계1가.광교,종로구,329,171,567,547
1175,청계2가.수표교,종로구,491,183,602,379
1176,청계4가.세운교,종로구,457,173,436,178
1177,청계5가.광장시장,종로구,1187,616,1481,347
1198,원남동,종로구,46264,9156,29409,12536
1199,창덕궁.우리소리박물관,종로구,20282,7645,31039,14189
1200,안국역.종로경찰서.인사동,종로구,31845,10940,38024,20245
1201,조계사,종로구,42570,15200,50376,28076
1203,안국동,종로구,8169,2703,7947,2684
1204,종로5가.효제동.김상옥의거터,종로구,8167,2957,12046,8802
1205,종로5가.효제초등학교,종로구,12622,5215,26463,16862
1212,종로5가,종로구,5660,3712,12810,6774
1213,청계6가.동대문시장,종로구,1126,339,881,299
1214,동대문,종로구,9913,4989,14786,6670
1215,충신동,종로구,14985,5017,13045,8468
1218,현대그룹빌딩,종로구,17544,3534,13141,7109
1219,방송통신대.이화장,종로구,22230,11628,47555,33537
1220,혜화역.마로니에공원,종로구,29074,16403,65497,48845
1221,혜화역.서울대병원입구,종로구,44753,9051,22760,14056
1222,방송통신대.이화장,종로구,7707,2148,7645,3330
1223,이화동(이화장),종로구,10828,3414,14548,7699
1224,창경궁.서울대학교병원,종로구,19235,6757,20494,8265
1225,이화동(이화장),종로구,6090,2010,5558,3163
1226,혜화동로터리,종로구,4508,1760,4805,3481
1227,명륜동2가.성균관대입구,종로구,12334,7404,29080,23852
1228,혜화역.서울연극센터(장면총리가옥),종로구,11962,6561,18194,11236
1229,혜화역.동성중고(장면총리가옥),종로구,16218,10849,46211,43327
1231,종로구민회관.창신동두산아파트,종로구,9741,3302,7826,3502
1235,동묘역앞,종로구,6411,2856,7537,3473
1238,창신3동주민센터,종로구,5791,1904,5466,3017
1239,숭인1동주민센터,종로구,9305,3540,12159,11580
1240,동묘역.롯데캐슬천지인,종로구,12237,7725,26497,21391
1243,신설동로터리,종로구,28994,7627,18843,9775
1246,구기동현대빌라,종로구,3383,874,2711,1976
1247,광장시장,종로구,13742,4491,10257,3511
1249,혜화경찰서,종로구,3602,1135,4520,2033
1250,서울역사박물관.김구집무실(경교장),종로구,3212,457,1661,573
1251,청계3가.관수교,종로구,263,144,411,118
1252,청계6가.버들다리,종로구,2683,1636,3483,362
1253,청계7가.맑은내다리,종로구,2935,889,1076,1353
1254,청계8가.영도교,종로구,2073,786,1770,805
1256,원남동사거리,종로구,8532,1534,6700,3386
1262,숭인동,종로구,7138,4221,13044,6666
1267,조계사,종로구,10606,2179,5494,3579
1272,세종문화회관,종로구,7245,2148,8974,7119
1277,이화동(이화장),종로구,5627,1238,3454,2646
1278,상명대정문,종로구,13149,3858,14790,4272
1279,이북오도청,종로구,3532,1426,4517,1566
1286,상명대입구.세검정교회,종로구,7764,3181,10866,4646
1287,상명대입구.석파랑,종로구,7138,2780,8130,3203
1288,종로중부새마을금고,종로구,12109,4330,10018,2697
1289,신설동로터리.신한은행앞.서울풍물시장,종로구,6929,2311,6111,3078
1291,청계2가.삼일교,종로구,788,311,1037,676
1292,청계8가.황학교,종로구,2464,956,2339,980
1763,종로1가,종로구,8165,3526,13346,8915
1293,평창동삼성아파트,종로구,4245,1911,4327,2335
13037,영천시장,종로구,86925,27445,90306,49596
1245,동묘앞,종로구,1972,865,2921,2306
1037,동대문(흥인지문),종로구,76664,24641,52518,35051
1041,동묘앞,종로구,78371,37008,101321,49171
1169,서대문역사거리.적십자병원,종로구,18956,6178,25772,15102
