주소,아침,점심,오후,저녁
중구,1875856,712606,2273818,1305081
용산구,2267757,769202,2579058,1677957
성동구,1603590,533630,1799951,1199024
광진구,1493625,487142,1652024,1204703
동대문구,3038507,1042866,3286299,1987271
중랑구,2129568,683089,2236803,1533996
성북구,3469878,1217226,3898139,2657353
강북구,2620055,926550,2953559,2000295
도봉구,1983810,634316,2062144,1405615
노원구,2346818,802646,2582592,1725904
은평구,2987498,959076,3179363,2113337
서대문구,3064153,1088488,3562873,2320769
마포구,2697038,906655,3076142,2035763
양천구,2236679,735389,2427797,1692451
강서구,2753478,897534,2964595,1970774
구로구,3142460,927707,3172125,2172102
금천구,2251166,614978,2223086,1522437
영등포구,3468128,1006692,3714388,2362971
동작구,2797546,898421,3112303,2259681
관악구,4372126,1353246,4407178,3329598
서초구,4227668,1286515,4486609,2779783
강남구,4636872,1372717,4950873,3270044
송파구,3047271,958697,3306675,2283735
강동구,1656541,526690,1790924,1221481
