년도,분기,광역시도,시군구,업종,값(퍼센트(％))
1년 생존율,1,서울,강남구,서비스업,78.6
3년 생존율,1,서울,강남구,서비스업,55.7
5년 생존율,1,서울,강남구,서비스업,41
1년 생존율,1,서울,강남구,소매업,76.6
3년 생존율,1,서울,강남구,소매업,54.4
5년 생존율,1,서울,강남구,소매업,39.5
1년 생존율,1,서울,강남구,외식업,68.9
3년 생존율,1,서울,강남구,외식업,38.5
5년 생존율,1,서울,강남구,외식업,23.3
1년 생존율,2,서울,강남구,서비스업,80.2
3년 생존율,2,서울,강남구,서비스업,56
5년 생존율,2,서울,강남구,서비스업,41.5
1년 생존율,2,서울,강남구,소매업,76.4
3년 생존율,2,서울,강남구,소매업,54.9
5년 생존율,2,서울,강남구,소매업,38.5
1년 생존율,2,서울,강남구,외식업,68.4
3년 생존율,2,서울,강남구,외식업,38.2
5년 생존율,2,서울,강남구,외식업,23
1년 생존율,3,서울,강남구,서비스업,81.6
3년 생존율,3,서울,강남구,서비스업,57.3
5년 생존율,3,서울,강남구,서비스업,43.5
1년 생존율,3,서울,강남구,소매업,77.2
3년 생존율,3,서울,강남구,소매업,55.9
5년 생존율,3,서울,강남구,소매업,38
1년 생존율,3,서울,강남구,외식업,68.4
3년 생존율,3,서울,강남구,외식업,37.6
5년 생존율,3,서울,강남구,외식업,24.1
1년 생존율,4,서울,강남구,서비스업,80.9
3년 생존율,4,서울,강남구,서비스업,57.1
5년 생존율,4,서울,강남구,서비스업,43.4
1년 생존율,4,서울,강남구,소매업,77
3년 생존율,4,서울,강남구,소매업,54.3
5년 생존율,4,서울,강남구,소매업,37.8
1년 생존율,4,서울,강남구,외식업,67.6
3년 생존율,4,서울,강남구,외식업,34.9
5년 생존율,4,서울,강남구,외식업,24.4
1년 생존율,1,서울,강남구,서비스업,80.6
3년 생존율,1,서울,강남구,서비스업,59.4
5년 생존율,1,서울,강남구,서비스업,45
1년 생존율,1,서울,강남구,소매업,77.8
3년 생존율,1,서울,강남구,소매업,56.3
5년 생존율,1,서울,강남구,소매업,38.6
1년 생존율,1,서울,강남구,외식업,67.7
3년 생존율,1,서울,강남구,외식업,36.1
5년 생존율,1,서울,강남구,외식업,24.6
1년 생존율,2,서울,강남구,서비스업,80
3년 생존율,2,서울,강남구,서비스업,59.2
5년 생존율,2,서울,강남구,서비스업,45.8
1년 생존율,2,서울,강남구,소매업,78.2
3년 생존율,2,서울,강남구,소매업,56.6
5년 생존율,2,서울,강남구,소매업,39.2
1년 생존율,2,서울,강남구,외식업,67.9
3년 생존율,2,서울,강남구,외식업,36
5년 생존율,2,서울,강남구,외식업,24.4
1년 생존율,3,서울,강남구,서비스업,79.7
3년 생존율,3,서울,강남구,서비스업,59.6
5년 생존율,3,서울,강남구,서비스업,44.2
1년 생존율,3,서울,강남구,소매업,78.2
3년 생존율,3,서울,강남구,소매업,55.8
5년 생존율,3,서울,강남구,소매업,39.9
1년 생존율,3,서울,강남구,외식업,67.2
3년 생존율,3,서울,강남구,외식업,37
5년 생존율,3,서울,강남구,외식업,23.4
1년 생존율,4,서울,강남구,서비스업,78.6
3년 생존율,4,서울,강남구,서비스업,59.2
5년 생존율,4,서울,강남구,서비스업,44.1
1년 생존율,4,서울,강남구,소매업,77.4
3년 생존율,4,서울,강남구,소매업,53.8
5년 생존율,4,서울,강남구,소매업,40.2
1년 생존율,4,서울,강남구,외식업,65.9
3년 생존율,4,서울,강남구,외식업,38.8
5년 생존율,4,서울,강남구,외식업,24.7
1년 생존율,1,서울,강남구,서비스업,79.1
3년 생존율,1,서울,강남구,서비스업,58.6
5년 생존율,1,서울,강남구,서비스업,43.4
1년 생존율,1,서울,강남구,소매업,78.6
3년 생존율,1,서울,강남구,소매업,54
5년 생존율,1,서울,강남구,소매업,41
1년 생존율,1,서울,강남구,외식업,66.6
3년 생존율,1,서울,강남구,외식업,38.5
5년 생존율,1,서울,강남구,외식업,25.1
1년 생존율,2,서울,강남구,서비스업,79.6
3년 생존율,2,서울,강남구,서비스업,58.8
5년 생존율,2,서울,강남구,서비스업,42.9
1년 생존율,2,서울,강남구,소매업,78.1
3년 생존율,2,서울,강남구,소매업,54.1
5년 생존율,2,서울,강남구,소매업,41.9
1년 생존율,2,서울,강남구,외식업,67.4
3년 생존율,2,서울,강남구,외식업,38.1
5년 생존율,2,서울,강남구,외식업,25.3
1년 생존율,3,서울,강남구,서비스업,80.2
3년 생존율,3,서울,강남구,서비스업,59.3
5년 생존율,3,서울,강남구,서비스업,43.7
1년 생존율,3,서울,강남구,소매업,79.4
3년 생존율,3,서울,강남구,소매업,53.7
5년 생존율,3,서울,강남구,소매업,42.6
1년 생존율,3,서울,강남구,외식업,69.3
3년 생존율,3,서울,강남구,외식업,38.5
5년 생존율,3,서울,강남구,외식업,24.9
1년 생존율,4,서울,강남구,서비스업,78.8
3년 생존율,4,서울,강남구,서비스업,59
5년 생존율,4,서울,강남구,서비스업,44.1
1년 생존율,4,서울,강남구,소매업,77.3
3년 생존율,4,서울,강남구,소매업,54.5
5년 생존율,4,서울,강남구,소매업,42.2
1년 생존율,4,서울,강남구,외식업,69
3년 생존율,4,서울,강남구,외식업,38.1
5년 생존율,4,서울,강남구,외식업,22.5
1년 생존율,1,서울,강남구,서비스업,77.7
3년 생존율,1,서울,강남구,서비스업,59.8
5년 생존율,1,서울,강남구,서비스업,47.3
1년 생존율,1,서울,강남구,소매업,76.6
3년 생존율,1,서울,강남구,소매업,54.8
5년 생존율,1,서울,강남구,소매업,44.2
1년 생존율,1,서울,강남구,외식업,70.3
3년 생존율,1,서울,강남구,외식업,38.7
5년 생존율,1,서울,강남구,외식업,22.8
1년 생존율,2,서울,강남구,서비스업,78
3년 생존율,2,서울,강남구,서비스업,58.4
5년 생존율,2,서울,강남구,서비스업,48.2
1년 생존율,2,서울,강남구,소매업,78
3년 생존율,2,서울,강남구,소매업,55.4
5년 생존율,2,서울,강남구,소매업,44.6
