사용월,호선명,자치구,지하철역,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원
202104,1호선,종로구,동대문,7019,14035,12473,18110,24539,16261,21668,15063,20102,16498,21479,19989,21254,20886,20567,22298,20122,23717,18620,24660,17170,24394,17516,23208,18008,16167,19044,12755,12503,12997,9819,11196,10846,2968,8304
202104,1호선,종로구,동묘앞,4736,5917,9312,9010,25960,7473,17233,9045,19008,13153,25363,19826,29162,24786,31275,28310,29729,31549,24902,35889,18491,30155,13719,24454,10184,10429,6541,5583,4359,5400,4261,3792,5722,1036,2344
202104,1호선,중구,서울역,33958,36079,87958,57500,181615,41250,118758,39862,58244,46185,49543,54505,49638,57758,51064,50662,47737,64574,51264,74463,52639,120907,62540,182945,70761,86590,46397,57287,29311,63411,25836,42161,21304,10028,7638
202104,1호선,중구,시청,19145,6323,61361,7526,163028,7875,72526,8998,29275,13448,28500,14924,24614,18213,24752,23570,20324,31035,17898,37855,15466,68024,16399,134734,16486,47318,7961,37477,4567,37770,3886,26507,3391,3808,1308
202104,1호선,동대문구,신설동,10434,17091,25832,24043,63325,15861,33302,14125,19803,16291,17286,17418,17570,20093,18026,19905,16474,21287,16554,28386,17789,38989,20608,57243,25423,21511,17926,13798,11004,14090,10231,10136,11666,2167,5136
202104,1호선,동대문구,제기동,8495,21378,18388,30394,41199,21507,35867,24680,38524,33302,42149,38489,40384,40591,41322,42506,44080,44157,38746,40551,29726,39830,24626,37710,25796,17185,17802,10653,11304,9189,9670,7322,11387,2038,4462
202104,1호선,종로구,종각,22272,5344,96690,8178,214460,10244,123990,13860,50557,21921,42624,25896,37417,32201,39635,38994,32540,48817,27789,57355,28063,111891,32017,185999,38854,79174,18640,64407,6961,81655,4585,62774,3555,6340,1341
202104,1호선,종로구,종로3가,11751,4731,25513,7446,70038,10438,71795,17597,56584,29008,54924,36150,52780,44046,53048,47639,48562,53979,39634,58928,34289,69772,30892,95513,32492,57270,15733,40977,6094,48780,4650,43294,4657,5299,2093
202104,1호선,종로구,종로5가,16116,4665,40606,7265,104235,10549,60934,17689,48990,25749,47244,32376,45336,38726,41843,45308,41079,49407,34727,55193,28438,69705,23791,99780,20927,47876,11152,29853,5115,27703,3876,18766,3602,3084,1735
202104,1호선,동대문구,청량리(서울시립대입구),20446,36061,17822,44330,35547,31593,32972,30505,34110,32512,37508,36952,37808,38987,39268,40716,42791,43630,41866,50976,37809,46993,38071,42166,47049,23425,31119,16683,17988,12712,16774,8794,18519,1932,6710
