호선명	자치구	지하철역	07시-08시	08시-09시	09시-10시	10시-11시	11시-12시	12시-13시	13시-14시	14시-15시	15시-16시	16시-17시	17시-18시	18시-19시	19시-20시	20시-21시	21시-22시	22시-23시	23시-24시
1호선	종로구	동대문	26508	42649	37929	35165	37977	41243	41453	42420	42337	41830	41910	41216	35211	25258	22816	22042	11272
1호선	종로구	동묘앞	15229	34970	24706	28053	38516	48988	56061	58039	56451	54380	43874	34638	16970	9942	9661	9514	3380
1호선	중구	서울역	124037	239115	160008	98106	95728	104143	108822	98399	115838	127102	183447	253706	132987	86598	89247	63465	17666
1호선	중구	시청	67684	170554	80401	38273	41948	39538	42965	43894	48933	53321	84423	151220	55279	42044	41656	29898	5116
1호선	동대문구	신설동	42923	87368	49163	33928	33577	34988	38119	36379	37841	46175	59597	82666	39437	24802	24321	21802	7303
1호선	동대문구	제기동	39766	71593	57374	63204	75451	78873	81913	86586	82903	70277	64456	63506	34987	21957	18859	18709	6500
1호선	종로구	종각	102034	222638	134234	64417	64545	63313	71836	71534	76606	85418	143908	224853	97814	71368	86240	66329	7681
1호선	종로구	종로3가	30244	77484	82233	74181	83932	88930	97094	96201	93613	93217	100664	128005	73003	47071	53430	47951	7392
1호선	종로구	종로5가	45271	111500	71483	66679	72993	77712	80569	86387	84134	83631	93496	120707	59028	34968	31579	22368	4819
1호선	동대문구	청량리	53883	79877	64565	64615	70020	74760	78255	83507	85496	88785	85064	89215	54544	34671	29486	27313	8642
2호선	강남구	강남	188033	380301	358117	189897	164401	176950	211840	204529	221646	240992	345475	508885	302819	194377	235724	232820	36923
2호선	광진구	강변	100284	149114	106323	81840	75075	79436	82425	80780	86770	96914	120885	164551	116407	76702	65698	66143	18404
2호선	광진구	건대입구	78003	148728	103910	68054	67674	80932	91974	92575	100824	119747	159607	221993	153142	107611	126881	127212	31577
2호선	서초구	교대	81945	189659	160646	91345	81327	79345	93325	95036	97693	104118	145598	212865	105856	69557	75664	73712	14770
2호선	구로구	구로디지털단지	220694	446693	261144	118177	99160	105184	113376	109555	120386	141429	228126	398600	240424	138235	132111	137654	41605
2호선	광진구	구의	80247	150592	83610	49588	44309	48501	50349	49667	56169	64646	84233	131956	86324	56631	54225	61187	19527
2호선	관악구	낙성대	96357	159865	106132	62116	53278	60120	61495	60891	66664	74514	100312	142414	109386	71400	68930	78369	25257
2호선	영등포구	당산	74054	133857	69098	40445	38382	41472	44595	42850	47553	56062	83823	133650	74686	48943	51075	53356	16378
2호선	구로구	대림	89443	148368	94760	61309	56454	59697	60841	59143	67713	76485	104085	126011	79454	53384	60326	60692	20005
2호선	구로구	도림천	7831	9595	4373	3447	2856	4250	2976	4192	4063	4656	5297	6994	4745	2508	2363	2056	865
