X좌표값,Y좌표값,사용월,호선명,자치구,지하철역,아침,점심,오후,저녁
127.0364695,37.50067442,202104,2호선,강남구,역삼,180228,82696,209713,116599
127.0106315,37.5716676,202104,1호선,종로구,동대문,141474,105049,247382,49467
127.0163642,37.57321666,202104,1호선,종로구,동묘앞,716994,212965,778492,389963
126.9720913,37.55598024,202104,1호선,중구,서울역,398860,82503,381791,173993
127.0244567,37.57602997,202104,1호선,동대문구,신설동,246959,73107,262658,117665
126.9771993,37.5653445,202104,1호선,중구,시청,307388,160786,367728,101012
127.0349495,37.5781753,202104,1호선,동대문구,제기동,587868,135149,602319,329432
127.0280003,37.49808544,202104,2호선,강남구,강남,348074,186024,511700,228847
127.0015395,37.57097611,202104,1호선,종로구,종로5가,367926,158281,468355,152762
126.9831519,37.57022889,202104,1호선,종로구,종각,332960,153015,432067,154656
127.0485044,37.58073293,202104,1호선,동대문구,청량리,1280749,388790,1521527,1002663
127.0947411,37.53511804,202104,2호선,광진구,강변,512636,161861,549900,343354
126.9921533,37.57042084,202104,1호선,종로구,종로3가,466369,172906,694746,546423
127.0692029,37.54040842,202104,2호선,광진구,건대입구,604922,172670,655310,339559
126.9014731,37.48526058,202104,2호선,구로구,구로디지털단지,1145868,218560,998096,690029
126.9635239,37.47709324,202104,2호선,관악구,낙성대,408346,98850,386671,277894
127.013868,37.49274317,202104,2호선,서초구,교대,477748,121615,444795,353342
127.0861808,37.53717527,202104,2호선,광진구,구의,355836,86067,363938,244438
126.9026118,37.53478432,202104,2호선,영등포구,당산,450334,120538,433437,273861
127.0090053,37.5656635,202104,2호선,중구,동대문역사문화공원,28102,7226,25202,12537
126.8826491,37.51450804,202104,2호선,구로구,도림천,194935,71066,241450,138215
126.894931,37.49330994,202104,2호선,구로구,대림,406747,99255,445378,239065
127.0473873,37.54724155,202104,2호선,성동구,뚝섬,402301,82153,384665,213255
126.9975533,37.48145613,202104,2호선,서초구,방배,302741,80501,322007,173293
126.8947788,37.51797572,202104,2호선,영등포구,문래,432466,106954,377132,278165
126.9416865,37.48247252,202104,2호선,관악구,봉천,544362,172742,701460,539266
127.0630255,37.50882274,202104,2호선,강남구,삼성,914008,202605,908871,472653
126.9815586,37.47656043,202104,2호선,동작구,사당,257780,64566,235922,152861
127.0292747,37.56443847,202104,2호선,성동구,상왕십리,777743,216043,802837,617159
127.0076621,37.49184993,202104,2호선,서초구,서초,421908,95364,378205,164192
127.0489617,37.50449737,202104,2호선,강남구,선릉,880705,219274,956475,479457
126.9527132,37.48128451,202104,2호선,관악구,서울대입구,674080,129608,649626,350202
127.056067,37.54458882,202104,2호선,성동구,성수,435710,76366,408614,166220
127.0470801,37.56983868,202104,2호선,성동구,신답,29858,6260,28946,20688
127.0194775,37.56567305,202104,2호선,중구,신당,238000,74872,261185,157069
126.9135097,37.48765226,202104,2호선,동작구,신대방,470513,110126,423253,335264
126.8913125,37.50890848,202104,2호선,구로구,신도림,777658,237632,869857,612109
126.9297454,37.48426804,202104,2호선,관악구,신림,1076292,260662,995427,849481
