호선명	자치구	지하철역	아침	점심	오후	저녁
1호선	종로구	동대문	180228	82696	209713	116599
1호선	종로구	동묘앞	141474	105049	247382	49467
1호선	중구	서울역	716994	212965	778492	389963
1호선	중구	시청	398860	82503	381791	173993
1호선	동대문구	신설동	246959	73107	262658	117665
1호선	동대문구	제기동	307388	160786	367728	101012
1호선	종로구	종각	587868	135149	602319	329432
1호선	종로구	종로3가	348074	186024	511700	228847
1호선	종로구	종로5가	367926	158281	468355	152762
1호선	동대문구	청량리	332960	153015	432067	154656
2호선	강남구	강남	1280749	388790	1521527	1002663
2호선	광진구	강변	512636	161861	549900	343354
2호선	광진구	건대입구	466369	172906	694746	546423
2호선	서초구	교대	604922	172670	655310	339559
2호선	구로구	구로디지털단지	1145868	218560	998096	690029
2호선	광진구	구의	408346	98850	386671	277894
2호선	관악구	낙성대	477748	121615	444795	353342
2호선	영등포구	당산	355836	86067	363938	244438
2호선	구로구	대림	450334	120538	433437	273861
2호선	구로구	도림천	28102	7226	25202	12537
2호선	중구	동대문역사문화공원	194935	71066	241450	138215
2호선	성동구	뚝섬	406747	99255	445378	239065
2호선	영등포구	문래	402301	82153	384665	213255
2호선	서초구	방배	302741	80501	322007	173293
2호선	관악구	봉천	432466	106954	377132	278165
2호선	동작구	사당	544362	172742	701460	539266
2호선	강남구	삼성	914008	202605	908871	472653
2호선	성동구	상왕십리	257780	64566	235922	152861
2호선	관악구	서울대입구	777743	216043	802837	617159
2호선	서초구	서초	421908	95364	378205	164192
2호선	강남구	선릉	880705	219274	956475	479457
2호선	성동구	성수	674080	129608	649626	350202
2호선	중구	시청	435710	76366	408614	166220
2호선	성동구	신답	29858	6260	28946	20688
2호선	중구	신당	238000	74872	261185	157069
2호선	동작구	신대방	470513	110126	423253	335264
2호선	구로구	신도림	777658	237632	869857	612109
2호선	관악구	신림	1076292	260662	995427	849481
2호선	동대문구	신설동	61474	24724	72014	24613
2호선	양천구	신정네거리	186972	47059	177133	122353
2호선	마포구	신촌	463493	192117	631285	418107
2호선	마포구	아현	180297	51748	182375	111428
2호선	양천구	양천구청	123939	30845	112098	82448
2호선	강남구	역삼	989563	188135	900663	447703
2호선	영등포구	영등포구청	426712	100329	413192	215453
2호선	성동구	왕십리	214620	73303	278157	196337
2호선	성동구	용답	46308	14818	48467	29962
2호선	동대문구	용두	41983	13948	45747	20861
2호선	중구	을지로3가	377177	76918	385282	198145
2호선	중구	을지로4가	228056	62632	247129	87739
2호선	중구	을지로입구	713568	146462	701127	335730
2호선	마포구	이대	196890	76196	230717	139527
2호선	송파구	잠실	1012774	327395	1251410	834952
2호선	송파구	잠실나루	262169	74108	240160	125296
2호선	송파구	잠실새내	326712	104438	382906	259053
2호선	송파구	종합운동장	133976	39904	155730	98035
2호선	서대문구	충정로	198119	44532	179905	91949
2호선	성동구	한양대	154392	55762	158196	70893
2호선	마포구	합정	452439	151321	599412	432827
2호선	마포구	홍대입구	618190	296409	1099960	810270
3호선	송파구	가락시장	156861	46436	167944	84850
3호선	종로구	경복궁	332423	94045	379125	185592
3호선	송파구	경찰병원	149414	33157	121674	68817
3호선	서초구	고속터미널	543469	280407	908394	488238
3호선	서초구	교대	177946	51876	225521	118744
3호선	은평구	구파발	375332	97263	333160	217094
3호선	성동구	금호	141210	40068	139193	91115
3호선	서초구	남부터미널	520350	138845	558886	270424
3호선	은평구	녹번	269810	58517	215765	164929
3호선	강남구	대청	162965	41407	170337	95792
3호선	강남구	대치	164407	55613	197280	130077
3호선	강남구	도곡	103700	26366	100460	51059
3호선	서대문구	독립문	144587	44378	134465	61361
3호선	중구	동대입구	147874	43045	166740	75523
3호선	강남구	매봉	226556	46807	222124	110395
3호선	서대문구	무악재	70863	17793	65829	45323
3호선	은평구	불광	307327	95118	306576	180817
3호선	강남구	수서	298293	90775	319291	178363
3호선	강남구	신사	483041	145376	601360	370291
3호선	종로구	안국	351099	99772	412806	147221
3호선	강남구	압구정	561089	161579	601811	339756
3호선	중구	약수	217788	63957	231290	140466
3호선	서초구	양재	735608	155438	725151	387263
3호선	은평구	연신내	634462	181668	613905	444130
3호선	송파구	오금	115300	25304	92906	60564
3호선	성동구	옥수	149383	49363	178335	111355
3호선	중구	을지로3가	186818	40273	196208	93228
3호선	강남구	일원	182864	54076	170217	70915
3호선	서초구	잠원	81440	25830	87828	51406
3호선	종로구	종로3가	175730	59238	201638	101428
3호선	중구	충무로	6	2	11	14
3호선	강남구	학여울	40366	15056	47193	17894
3호선	서대문구	홍제	311997	88967	299346	181132
4호선	성북구	길음	359277	92397	331536	231122
4호선	서초구	남태령	23419	6017	22015	8435
4호선	노원구	노원	301577	102711	362253	267428
4호선	노원구	당고개	232100	61649	197237	143638
4호선	종로구	동대문	357361	140444	417618	133507
4호선	중구	동대문역사문화공원	212341	67466	269283	162861
4호선	동작구	동작	46453	16004	59864	28793
4호선	중구	명동	304697	97379	365662	153018
4호선	강북구	미아	271635	73035	258784	160325
4호선	강북구	미아사거리	470570	135112	491599	320624
4호선	동작구	사당	394857	109847	386113	272393
4호선	용산구	삼각지	87708	23150	97445	58598
4호선	노원구	상계	336822	85349	290987	223775
4호선	용산구	서울역	233919	57421	241092	115990
4호선	성북구	성신여대입구	296756	104062	364229	255100
4호선	강북구	수유	577164	160306	589715	417815
4호선	용산구	숙대입구	215492	62377	243346	140113
4호선	용산구	신용산	284778	65123	297284	155624
4호선	도봉구	쌍문	514840	123878	440329	346174
4호선	용산구	이촌	132544	44880	157412	72139
4호선	도봉구	창동	430865	136331	471124	306748
4호선	동작구	총신대입구	322637	103675	379024	216825
4호선	중구	충무로	469303	112065	479230	251171
4호선	성북구	한성대입구	231206	75413	251492	149045
4호선	종로구	혜화	453129	181278	622024	361482
4호선	중구	회현	458047	155498	491945	142138
5호선	강동구	강동	340733	80534	303289	192270
5호선	강동구	강일	54202	14162	50890	39266
5호선	송파구	개롱	117901	30856	112687	73630
5호선	강서구	개화산	97275	26079	87928	57042
5호선	송파구	거여	149192	37532	133856	82537
5호선	강동구	고덕	159247	47338	161389	97383
5호선	마포구	공덕	276485	57379	271544	147435
5호선	광진구	광나루	235681	65293	220841	126346
5호선	종로구	광화문	572332	109487	552093	259900
5호선	성동구	군자	192982	49992	205027	152673
5호선	강동구	굽은다리	164839	45352	151983	105396
5호선	강동구	길동	141969	45384	148801	83297
5호선	강서구	김포공항	108355	52404	162135	77120
5호선	강서구	까치산	522460	125494	459619	360048
5호선	성동구	답십리	290929	64660	250787	164377
5호선	동대문구	동대문역사문화공원	63012	8791	51079	23566
5호선	강동구	둔촌동	146878	41644	158014	90143
5호선	강서구	마곡	185974	42815	176495	91352
5호선	성동구	마장	102631	26846	91652	55374
5호선	송파구	마천	118725	29539	102294	67421
5호선	마포구	마포	263799	58789	256110	146778
5호선	강동구	명일	157732	43434	150158	101959
5호선	양천구	목동	297589	76460	309698	215244
5호선	강서구	발산	348616	96331	374059	203117
5호선	송파구	방이	118374	33569	126270	80349
5호선	강서구	방화	121103	35703	107637	70775
5호선	강동구	상일동	280002	62644	227475	176443
5호선	서대문구	서대문	384942	66085	329704	135067
5호선	강서구	송정	118941	34693	115693	71850
5호선	성동구	신금호	119890	28578	110277	69990
5호선	영등포구	신길	79555	15087	70698	51200
5호선	양천구	신정	262299	49049	185505	138300
5호선	광진구	아차산	266235	85782	287131	167314
5호선	마포구	애오개	133345	30690	119981	62955
5호선	영등포구	양평	149479	25450	124220	71566
5호선	영등포구	여의나루	196904	68406	340087	193379
5호선	영등포구	여의도	554141	95630	541980	249999
5호선	영등포구	영등포구청	76268	16599	73574	35450
5호선	영등포구	영등포시장	179958	51123	183688	96220
5호선	송파구	오금	73441	16702	67307	33977
5호선	양천구	오목교	391262	111086	433118	264624
5호선	송파구	올림픽공원	72016	22955	75184	35351
5호선	성동구	왕십리	74041	24743	92800	57548
5호선	강서구	우장산	255983	71412	245741	155031
5호선	중구	을지로4가	114131	28695	115260	45276
5호선	성동구	장한평	344600	72397	307604	189871
5호선	종로구	종로3가	160689	76616	264019	147361
5호선	강동구	천호	256882	103730	369959	226472
5호선	중구	청구	66499	17414	67434	45203
5호선	서대문구	충정로	96386	17897	86989	43976
5호선	성동구	행당	150592	35570	125762	84166
5호선	강서구	화곡	501370	118473	445467	328549
6호선	성북구	고려대	138172	37708	133165	88016
6호선	마포구	공덕	323865	74221	329704	184796
6호선	마포구	광흥창	163904	38724	150886	87758
6호선	은평구	구산	131280	33355	106608	66500
6호선	용산구	녹사평	73706	25484	102364	68701
6호선	마포구	대흥	141474	42912	146384	82418
6호선	은평구	독바위	55887	13332	44053	34652
6호선	성북구	돌곶이	163447	40743	139280	101446
6호선	종로구	동묘앞	136996	56403	170567	76026
6호선	서대문구	디지털미디어시티	287680	46260	228671	137419
6호선	마포구	마포구청	245236	62692	225419	145977
6호선	마포구	망원	226884	87291	293983	176428
6호선	중구	버티고개	38480	10808	39447	25219
6호선	성북구	보문	126395	31699	113252	80529
6호선	중랑구	봉화산	162376	36852	126244	97365
6호선	은평구	불광	70251	26564	91201	48029
6호선	용산구	삼각지	92919	26538	104946	62825
6호선	마포구	상수	110722	44034	165158	119515
6호선	성북구	상월곡	115703	26214	90849	66346
6호선	은평구	새절	232696	59215	204204	145644
6호선	성북구	석계	213630	57672	203674	154346
