일련번호	시군구	읍면동리	지번구분	본번지	부번지	시도명	시군구명	소재지	지목	면적	용도지역1	이용상황	주위환경	지세명	형상명	도로교통	공시지가	지리적위치1	지리적위치2
238	11680	10100	1	835	61	서울특별시	강남구	 역삼동 835-61	대	245.9	제3종일반주거지역	상업	주택 및 상가혼용지대	평지	세로장방형	소로각지	5320000	금호어울림	남동측인근
313	11680	10300	1	1247	1	서울특별시	강남구	 개포동 1247-1	대	251.9	제2종일반주거지역	상업	주택 및 상가혼용지대	평지	사다리형	세로(가)	3260000	영동제2교	남동측인근
511	11680	10500	1	128	22	서울특별시	강남구	 삼성동 128-22	대	600.5	제3종일반주거지역	상업	후면 상가지대	평지	부정형	중로각지	10700000	삼릉공원	남동측인근
540	11680	10500	1	152	55	서울특별시	강남구	 삼성동 152-55	대	257.6	제2종일반주거지역	상업	후면 상가지대	평지	가로장방형	세각(가)	7000000	코엑스전시장	서측인근
543	11680	10500	1	154	0	서울특별시	강남구	 삼성동 154	대	185.2	제3종일반주거지역	상업	주택 및 상가혼용지대	평지	가로장방형	세각(가)	7220000	코엑스전시장	서측인근
740	11680	10700	1	553	26	서울특별시	강남구	 신사동 553-26	대	255.5	제2종일반주거지역	상업	주택 및 상가혼용지대	평지	세로장방형	소로각지	7860000	신구초등교	남측인근
789	11680	10700	1	628	10	서울특별시	강남구	 신사동 628-10	대	231.2	제3종일반주거지역	상업	후면 상가지대	평지	세로장방형	중로한면	9260000	도산공원	서측인근
851	11680	10800	1	37	10	서울특별시	강남구	 논현동 37-10	대	272.3	제3종일반주거지역	상업	주택 및 상가혼용지대	평지	세로장방형	중로각지	8370000	학동역	북서측인근
913	11680	10800	1	131	0	서울특별시	강남구	 논현동 131	대	500.6	제3종일반주거지역	상업	후면 상가지대	평지	가로장방형	중로각지	8270000	학동역	남서측인근
979	11680	10800	1	233	0	서울특별시	강남구	 논현동 233	대	231	제2종일반주거지역	상업	주택 및 상가혼용지대	평지	가로장방형	소로각지	6210000	경복아파트	서측인근
1114	11680	11400	1	656	3	서울특별시	강남구	 일원동 656-3	대	203.9	제2종일반주거지역	상업	노선 상가지대	평지	세로장방형	중로한면	5370000	삼성사원아파트	남동측인근
1118	11680	11400	1	664	0	서울특별시	강남구	 일원동 664	대	197	제1종일반주거지역	상업	주택 및 상가혼용지대	평지	가로장방형	소로각지	4600000	삼성사원아파트	남동측인근
83	11680	10100	1	688	0	서울특별시	강남구	 역삼동 688	대	646.8	일반상업지역	상업나지	노선 상가지대	평지	가로장방형	광대소각	12200000	경복아파트	남측인근
140	11680	10100	1	738	27	서울특별시	강남구	 역삼동 738-27	대	539.4	제3종일반주거지역	상업나지	노선 상가지대	평지	가로장방형	광대세각	14700000	역삼역	남측인근
158	11680	10100	1	765	7	서울특별시	강남구	 역삼동 765-7	대	679.8	제3종일반주거지역	상업나지	노선 상가지대	평지	정방형	광대소각	12200000	한티역	북측인근
160	11680	10100	1	766	26	서울특별시	강남구	 역삼동 766-26	대	260.9	제3종일반주거지역	상업나지	노선 상가지대	평지	정방형	광대소각	9590000	한티역	서측인근
174	11680	10100	1	782	45	서울특별시	강남구	 역삼동 782-45	대	191.2	제2종일반주거지역	상업나지	후면 상가지대	평지	사다리형	중로각지	5650000	총지사	남측인근
214	11680	10100	1	825	25	서울특별시	강남구	 역삼동 825-25	대	568.7	일반상업지역	상업나지	후면 상가지대	평지	가로장방형	소로각지	16400000	강남역	남동측인근
473	11680	10500	1	77	13	서울특별시	강남구	 삼성동 77-13	대	326	일반상업지역	상업나지	노선 상가지대	평지	사다리형	광대소각	15200000	코엑스전시장	북동측인근대로변
533	11680	10500	1	148	8	서울특별시	강남구	 삼성동 148-8	대	662.2	제2종일반주거지역	상업나지	노선 상가지대	평지	세로장방형	광대한면	11700000	코엑스전시장	서측인근
1039	11680	11100	1	513	0	서울특별시	강남구	 세곡동 513	대	570	준주거지역	상업나지	미성숙 상가지대	평지	가로장방형	중로각지	2800000	세곡임대주택	사업지구내
1	11680	10100	1	601	0	서울특별시	강남구	 역삼동 601	대	493.9	일반상업지역	상업용	노선 상가지대	평지	가로장방형	광대소각	17700000	리츠칼튼호텔	서측인근
4	11680	10100	1	605	6	서울특별시	강남구	 역삼동 605-6	대	477.6	일반상업지역	상업용	노선 상가지대	평지	세로장방형	광대세각	12800000	삼정호텔	동측인근
5	11680	10100	1	606	9	서울특별시	강남구	 역삼동 606-9	대	328.1	제3종일반주거지역	상업용	후면 상가지대	평지	정방형	소로한면	6940000	삼정호텔	동측인근
8	11680	10100	1	607	19	서울특별시	강남구	 역삼동 607-19	대	529.1	제3종일반주거지역	상업용	노선 상가지대	평지	세로장방형	광대한면	10900000	차병원	남서측인근
11	11680	10100	1	611	2	서울특별시	강남구	 역삼동 611-2	대	396	제1종전용주거지역	상업용	주택 및 상가혼용지대	평지	사다리형	소로각지	5430000	삼정호텔	남측월편
15	11680	10100	1	619	2	서울특별시	강남구	 역삼동 619-2	대	310.2	제2종일반주거지역	상업용	일반 상가지대	평지	가로장방형	세로(가)	8470000	강남역	북측근거리
16	11680	10100	1	619	17	서울특별시	강남구	 역삼동 619-17	대	304.1	제2종일반주거지역	상업용	후면 상가지대	평지	가로장방형	소로한면	16300000	강남역	북측인근
22	11680	10100	1	627	9	서울특별시	강남구	 역삼동 627-9	대	400.7	제1종전용주거지역	상업용	주택 및 상가혼용지대	평지	가로장방형	소로한면	6080000	차병원	남서측인근
23	11680	10100	1	628	0	서울특별시	강남구	 역삼동 628	대	537.1	제3종일반주거지역	상업용	주택 및 상가혼용지대	평지	세로장방형	소로각지	7500000	역삼역	북측 인근
25	11680	10100	1	636	7	서울특별시	강남구	 역삼동 636-7	대	473.8	제2종일반주거지역	상업용	주택 및 상가혼용지대	평지	정방형	세각(가)	6050000	국기원	남동측인근
26	11680	10100	1	637	19	서울특별시	강남구	 역삼동 637-19	대	299.6	제2종일반주거지역	상업용	후면 상가지대	평지	세로장방형	소로각지	8910000	국기원	남동측인근
27	11680	10100	1	637	51	서울특별시	강남구	 역삼동 637-51	대	201.7	제2종일반주거지역	상업용	주택 및 상가혼용지대	평지	가로장방형	세로(가)	6040000	국기원	동측인근
30	11680	10100	1	640	13	서울특별시	강남구	 역삼동 640-13	대	289.1	제2종일반주거지역	상업용	후면 상가지대	평지	가로장방형	소로각지	7380000	역삼역	북측인근
31	11680	10100	1	641	11	서울특별시	강남구	 역삼동 641-11	대	368.8	제3종일반주거지역	상업용	역주변 상가지대	평지	세로장방형	광대한면	14000000	역삼역	북측인근
